stage,in_tok,out_tok,USD,EUR,secs
spring_function+wire_material,1304,15,0.0034,0.0031,2.763
wire_diameter,1205,10,0.0031,0.0029,3.139
spring_type,1236,10,0.0032,0.0029,1.851
free_length,1207,9,0.0031,0.0029,2.275
total_coils,1199,10,0.0031,0.0028,2.472
initial_closed_coils+final_closed_coils,1237,16,0.0033,0.003,2.577
pitch_insertion_coils+pitch_retraction_coils,1272,18,0.0034,0.0031,2.276
external_diameter+body_diameter_correction,1272,20,0.0034,0.0031,2.996
TOTAL,,,,0.0238,20.349
WALL,,,,,20.385
