stage,in_tok,out_tok,USD,EUR,secs
spring_function+wire_material,1966,418,0.0013,0.0012,11.02
wire_diameter,1867,84,0.0006,0.0006,5.266
spring_type,1898,83,0.0006,0.0006,5.687
free_length,1869,210,0.0009,0.0008,6.179
total_coils,1861,148,0.0008,0.0007,3.865
initial_closed_coils+final_closed_coils,1899,287,0.001,0.001,6.701
pitch_insertion_coils+pitch_retraction_coils,1934,934,0.0024,0.0022,23.276
external_diameter+body_diameter_correction,1934,612,0.0017,0.0016,10.977
TOTAL,,,,0.0087,72.971
WALL,,,,,72.993
