stage,in_tok,out_tok,USD,EUR,secs
spring_function+wire_material,1966,610,0.0017,0.0016,36.326
wire_diameter,1867,340,0.0011,0.0011,7.137
spring_type,1898,83,0.0006,0.0006,13.326
free_length,1869,146,0.0008,0.0007,5.32
total_coils,1861,84,0.0006,0.0006,3.504
initial_closed_coils+final_closed_coils,1899,351,0.0012,0.0011,8.788
pitch_insertion_coils+pitch_retraction_coils,1934,930,0.0023,0.0022,15.648
external_diameter+body_diameter_correction,1934,612,0.0017,0.0016,15.329
TOTAL,,,,0.0095,105.378
WALL,,,,,105.4
