stage,in_tok,out_tok,USD,EUR,secs
spring_function+wire_material,2407,866,0.0005,0.0004,11.855
wire_diameter,2308,1045,0.0005,0.0005,11.145
spring_type,2339,851,0.0005,0.0004,7.201
free_length,2310,1170,0.0006,0.0005,9.118
total_coils,2302,404,0.0003,0.0003,7.151
initial_closed_coils+final_closed_coils,2340,1503,0.0007,0.0007,10.909
pitch_insertion_coils+pitch_retraction_coils,2375,1769,0.0008,0.0008,12.657
external_diameter+body_diameter_correction,2375,2146,0.001,0.0009,15.324
TOTAL,,,,0.0045,85.36
WALL,,,,,85.396
