stage,in_tok,out_tok,USD,EUR,secs
spring_function+wire_material,1108,1058,0.012,0.011,34.208
wire_diameter,1009,404,0.0053,0.0049,9.799
spring_type,1040,403,0.0053,0.0049,10.491
free_length,1011,594,0.0072,0.0066,17.798
total_coils,1003,340,0.0047,0.0043,10.698
initial_closed_coils+final_closed_coils,1041,415,0.0055,0.005,15.226
pitch_insertion_coils+pitch_retraction_coils,1076,1572,0.0171,0.0157,36.833
external_diameter+body_diameter_correction,1076,1250,0.0138,0.0127,37.228
TOTAL,,,,0.0651,172.281
WALL,,,,,172.318
